"","","roll"
"159","12/13/2020","115.857142857143"
"160","12/14/2020","118.714285714286"
"161","12/15/2020","124.857142857143"
"162","12/16/2020","118.571428571429"
"163","12/17/2020","136.428571428571"
"164","12/18/2020","128.571428571429"
"165","12/19/2020","130.285714285714"
"166","12/20/2020","129"
"167","12/21/2020","127.428571428571"
"168","12/22/2020","127"
"169","12/23/2020","120.857142857143"
"170","12/24/2020","105.428571428571"
"171","12/25/2020","93"
"172","12/26/2020","94"
"173","12/27/2020","95.2857142857143"
"174","12/28/2020","102.428571428571"
"175","12/29/2020","118.571428571429"
"176","12/30/2020","125.714285714286"
"177","12/31/2020","129.714285714286"
"178","1/1/2021","134"
"179","1/2/2021","139.142857142857"
"180","1/3/2021","142.142857142857"
"181","1/4/2021","158.142857142857"
"182","1/5/2021","159.142857142857"
"183","1/6/2021","169"
"184","1/7/2021","177"
"185","1/8/2021","189.428571428571"
"186","1/9/2021","189.571428571429"
"187","1/10/2021","185"
"188","1/11/2021","167.428571428571"
"189","1/12/2021","153.714285714286"
"190","1/13/2021","143.428571428571"
"191","1/14/2021","135.285714285714"
"192","1/15/2021","128.571428571429"
"193","1/16/2021","121.571428571429"
"194","1/17/2021","118"
"195","1/18/2021","110.571428571429"
"196","1/19/2021","107.571428571429"
"197","1/20/2021","108.857142857143"
"198","1/21/2021","112"
"199","1/22/2021","112.142857142857"
"200","1/23/2021","112.714285714286"
"201","1/24/2021","116.428571428571"
"202","1/25/2021","113.857142857143"
"203","1/26/2021","111.285714285714"
"204","1/27/2021","108.285714285714"
"205","1/28/2021","99"
"206","1/29/2021","94.4285714285714"
"207","1/30/2021","94.2857142857143"
"208","1/31/2021","90.5714285714286"
"209","2/1/2021","91.5714285714286"
"210","2/2/2021","89.7142857142857"
"211","2/3/2021","88.1428571428571"
"212","2/4/2021","87.4285714285714"
"213","2/5/2021","79.7142857142857"
"214","2/6/2021","74.8571428571429"
"215","2/7/2021","72.4285714285714"
"216","2/8/2021","70"
"217","2/9/2021","65.7142857142857"
"218","2/10/2021","57.7142857142857"
"219","2/11/2021","53.4285714285714"
"220","2/12/2021","53.5714285714286"
"221","2/13/2021","51.8571428571429"
"222","2/14/2021","48.4285714285714"
"223","2/15/2021","45"
"224","2/16/2021","42.5714285714286"
"225","2/17/2021","40.2857142857143"
"226","2/18/2021","43.2857142857143"
"227","2/19/2021","45.8571428571429"
"228","2/20/2021","49.8571428571429"
"229","2/21/2021","52.1428571428571"
"230","2/22/2021","48.7142857142857"
"231","2/23/2021","48"
"232","2/24/2021","58.2857142857143"
"233","2/25/2021","56.8571428571429"
"234","2/26/2021","53.5714285714286"
"235","2/27/2021","52"
"236","2/28/2021","48.2857142857143"
"237","3/1/2021","51"
"238","3/2/2021","52.7142857142857"
"239","3/3/2021","50.7142857142857"
"240","3/4/2021","49.7142857142857"
"241","3/5/2021","51.8571428571429"
"242","3/6/2021","53"
"243","3/7/2021","56.4285714285714"
"244","3/8/2021","56.2857142857143"
"245","3/9/2021","58.1428571428571"
"246","3/10/2021","63.4285714285714"
"247","3/11/2021","63.8571428571429"
"248","3/12/2021","64.2857142857143"
"249","3/13/2021","64.8571428571429"
"250","3/14/2021","68.4285714285714"
"251","3/15/2021","73"
"252","3/16/2021","77.1428571428571"
"253","3/17/2021","77.8571428571429"
"254","3/18/2021","80.8571428571429"
"255","3/19/2021","85.7142857142857"
"256","3/20/2021","84.7142857142857"
"257","3/21/2021","83.1428571428571"
"258","3/22/2021","87.2857142857143"
"259","3/23/2021","90.7142857142857"
"260","3/24/2021","94.7142857142857"
"261","3/25/2021","99.1428571428571"
"262","3/26/2021","99.4285714285714"
"263","3/27/2021","105.571428571429"
"264","3/28/2021","110.571428571429"
"265","3/29/2021","109.714285714286"
"266","3/30/2021","111.428571428571"
"267","3/31/2021","117.142857142857"
