"","","roll"
"155","11/21/2020","4898.85714285714"
"156","11/22/2020","5094"
"157","11/23/2020","4831.28571428571"
"158","11/24/2020","4850.14285714286"
"159","11/25/2020","5224.42857142857"
"160","11/26/2020","5472.28571428571"
"161","11/27/2020","6062"
"162","11/28/2020","6715.14285714286"
"163","11/29/2020","7295"
"164","11/30/2020","8298.14285714286"
"165","12/1/2020","9003.57142857143"
"166","12/2/2020","9305.42857142857"
"167","12/3/2020","9432"
"168","12/4/2020","9886.85714285714"
"169","12/5/2020","10315"
"170","12/6/2020","10647.7142857143"
"171","12/7/2020","11138.7142857143"
"172","12/8/2020","11692.2857142857"
"173","12/9/2020","12147.2857142857"
"174","12/10/2020","12290.7142857143"
"175","12/11/2020","12866.1428571429"
"176","12/12/2020","13432"
"177","12/13/2020","13958.1428571429"
"178","12/14/2020","14393.5714285714"
"179","12/15/2020","14635.2857142857"
"180","12/16/2020","14683.2857142857"
"181","12/17/2020","14726.8571428571"
"182","12/18/2020","14794"
"183","12/19/2020","15003.1428571429"
"184","12/20/2020","15129.5714285714"
"185","12/21/2020","14062.4285714286"
"186","12/22/2020","12421.2857142857"
"187","12/23/2020","12637.4285714286"
"188","12/24/2020","12844.2857142857"
"189","12/25/2020","13331.7142857143"
"190","12/26/2020","13797.4285714286"
"191","12/27/2020","14215.7142857143"
"192","12/28/2020","14479.2857142857"
"193","12/29/2020","14645.5714285714"
"194","12/30/2020","14724"
"195","12/31/2020","14695.5714285714"
"196","1/1/2021","14772.5714285714"
"197","1/2/2021","14452.5714285714"
"198","1/3/2021","14243.7142857143"
"199","1/4/2021","14963.2857142857"
"200","1/5/2021","16331.7142857143"
"201","1/6/2021","15845.5714285714"
"202","1/7/2021","15448"
"203","1/8/2021","14385.8571428571"
"204","1/9/2021","13401.7142857143"
"205","1/10/2021","12391"
"206","1/11/2021","11653.7142857143"
"207","1/12/2021","10954"
"208","1/13/2021","10417.8571428571"
"209","1/14/2021","10204.7142857143"
"210","1/15/2021","9068.42857142857"
"211","1/16/2021","8536.28571428571"
"212","1/17/2021","8110.28571428571"
"213","1/18/2021","7640.14285714286"
"214","1/19/2021","7161"
"215","1/20/2021","6791.85714285714"
"216","1/21/2021","6669.71428571429"
"217","1/22/2021","6634.42857142857"
"218","1/23/2021","6128.14285714286"
"219","1/24/2021","5643.71428571429"
"220","1/25/2021","5259.85714285714"
"221","1/26/2021","4866.57142857143"
"222","1/27/2021","4727.28571428571"
"223","1/28/2021","4608.71428571429"
"224","1/29/2021","4354.85714285714"
"225","1/30/2021","4050.42857142857"
"226","1/31/2021","3779"
"227","2/1/2021","3532.28571428571"
"228","2/2/2021","3373"
"229","2/3/2021","3174.85714285714"
"230","2/4/2021","3025.71428571429"
"231","2/5/2021","2758.57142857143"
"232","2/6/2021","2511.42857142857"
"233","2/7/2021","2309.71428571429"
"234","2/8/2021","2118.71428571429"
"235","2/9/2021","1952.14285714286"
"236","2/10/2021","1824"
"237","2/11/2021","1753.14285714286"
"238","2/12/2021","1551"
"239","2/13/2021","1449.85714285714"
"240","2/14/2021","1347"
"241","2/15/2021","1248"
"242","2/16/2021","1152"
"243","2/17/2021","1086.71428571429"
"244","2/18/2021","1045"
"245","2/19/2021","1001"
"246","2/20/2021","927.285714285714"
"247","2/21/2021","873"
"248","2/22/2021","831.714285714286"
"249","2/23/2021","801.142857142857"
"250","2/24/2021","776.714285714286"
"251","2/25/2021","766.857142857143"
"252","2/26/2021","731.285714285714"
"253","2/27/2021","700.714285714286"
"254","2/28/2021","666.571428571429"
"255","3/1/2021","649"
"256","3/2/2021","629.714285714286"
"257","3/3/2021","617.428571428571"
"258","3/4/2021","609.142857142857"
"259","3/5/2021","600.285714285714"
"260","3/6/2021","594.571428571429"
"261","3/7/2021","589.285714285714"
"262","3/8/2021","575.714285714286"
"263","3/9/2021","564.714285714286"
"264","3/10/2021","551.428571428571"
"265","3/11/2021","533.857142857143"
"266","3/12/2021","511.857142857143"
"267","3/13/2021","505.285714285714"
"268","3/14/2021","496"
"269","3/15/2021","482.571428571429"
"270","3/16/2021","468.285714285714"
"271","3/17/2021","459.714285714286"
"272","3/18/2021","457.571428571429"
"273","3/19/2021","452.571428571429"
"274","3/20/2021","445"
"275","3/21/2021","443.142857142857"
"276","3/22/2021","447.428571428571"
"277","3/23/2021","448"
"278","3/24/2021","447.857142857143"
"279","3/25/2021","449.714285714286"
"280","3/26/2021","452"
"281","3/27/2021","448.714285714286"
"282","3/28/2021","445.285714285714"
"283","3/29/2021","443.285714285714"
"284","3/30/2021","451.142857142857"
"285","3/31/2021","447"
"286","4/1/2021","445.428571428571"
"287","4/2/2021","444.428571428571"
"288","4/3/2021","450.142857142857"
"289","4/4/2021","452.571428571429"
"290","4/5/2021","448"
"291","4/6/2021","448.714285714286"
"292","4/7/2021","457.571428571429"
"293","4/8/2021","453.428571428571"
"294","4/9/2021","448.714285714286"
"295","4/10/2021","444.428571428571"
