Label,Locality,Variant
USA_HI_H211314_2021,HI,B117
USA_HI_H211317_2021,HI,B117
USA_HI_H211328_2021,HI,B117
USA_HI_H211349_2021,HI,B117
USA_HI_H211350_2021,HI,B117
USA_HI_H211357_2021,HI,B117
USA_HI_H211406_2021,HI,B117
USA_HI_H211411_2021,HI,B117
USA_HI_H211424_2021,HI,B117
USA_HI_H211450_2021,HI,B117
USA_HI_H211456_2021,HI,B117
USA_HI_H211457_2021,HI,B117
USA_HI_H211461_2021,HI,B117
USA_HI_H211470_2021,HI,B117
USA_HI_H211472_2021,HI,B117
USA_HI_H211518_2021,HI,B117
USA_HI_H211524_2021,HI,B117
USA_HI_H211531_2021,HI,B117
USA_HI_H211545_2021,HI,B117
USA_HI_H211551_2021,HI,B117
USA_HI_H211562_2021,HI,B117
USA_HI_H211570_2021,HI,B117
USA_HI_H211575_2021,HI,B117
USA_HI_H211576_2021,HI,B117
USA_HI_H211577_2021,HI,B117
USA_HI_H211589_2021,HI,B117
USA_HI_H211596_2021,HI,B117
USA_HI_H211604_2021,HI,B117
USA_HI_H211608_2021,HI,B117
USA_HI_H211612_2021,HI,B117
USA_HI_H211614_2021,HI,B117
USA_HI_H211615_2021,HI,B117
USA_HI_H211616_2021,HI,B117
USA_HI_H211617_2021,HI,B117
USA_HI_H211618_2021,HI,B117
USA_HI_H211624_2021,HI,B117
USA_HI_H211625_2021,HI,B117
USA_HI_H211626_2021,HI,B117
USA_HI_H211627_2021,HI,B117
USA_HI_H211639_2021,HI,B117
USA_HI_H211651_2021,HI,B117
USA_HI_H211652_2021,HI,B117
USA_HI_H211655_2021,HI,B117
USA_HI_H211672_2021,HI,B117
USA_HI_H211679_2021,HI,B117
USA_HI_H211685_2021,HI,B117
USA_HI_H211688_2021,HI,B117
USA_HI_H211689_2021,HI,B117
USA_HI_H211705_2021,HI,B117
USA_HI_H211727_2021,HI,B117
USA_HI_H211735_2021,HI,B117
USA_HI_H211753_2021,HI,B117
USA_HI_H211759_2021,HI,B117
USA_HI_H211762_2021,HI,B117
USA_HI_H211763_2021,HI,B117
USA_HI_H211765_2021,HI,B117
USA_HI_H211773_2021,HI,B117
USA_HI_H211774_2021,HI,B117
USA_HI_H211775_2021,HI,B117
USA_HI_H211776_2021,HI,B117
USA_HI_H211777_2021,HI,B117
USA_HI_H211780_2021,HI,B117
USA_HI_H211788_2021,HI,B117
USA_HI_H211790_2021,HI,B117
USA_HI_H211796_2021,HI,B117
USA_HI_H211806_2021,HI,B117
USA_HI_H211807_2021,HI,B117
USA_HI_H211822_2021,HI,B117
USA_HI_H211828_2021,HI,B117
USA_HI_H211834_2021,HI,B117
USA_HI_H211840_2021,HI,B117
USA_HI_H211842_2021,HI,B117
USA_HI_H211847_2021,HI,B117
USA_HI_H211859_2021,HI,B117
USA_HI_H211860_2021,HI,B117
USA_HI_H211861_2021,HI,B117
USA_HI_H211862_2021,HI,B117
USA_HI_H211869_2021,HI,B117
USA_HI_H211871_2021,HI,B117
USA_HI_H211873_2021,HI,B117
USA_HI_H211874_2021,HI,B117
USA_HI_H211877_2021,HI,B117
USA_HI_H211879_2021,HI,B117
USA_HI_H211884_2021,HI,B117
USA_HI_H211885_2021,HI,B117
USA_HI_H211886_2021,HI,B117
USA_HI_H211887_2021,HI,B117
USA_HI_H211888_2021,HI,B117
USA_HI_H211897_2021,HI,B117
USA_HI_H211899_2021,HI,B117
USA_HI_H211901_2021,HI,B117
USA_HI_H211908_2021,HI,B117
USA_HI_H211909_2021,HI,B117
USA_HI_H211910_2021,HI,B117
USA_HI_H211928_2021,HI,B117
USA_HI_H211929_2021,HI,B117
USA_HI_H211939_2021,HI,B117
USA_HI_H211944_2021,HI,B117
USA_HI_H211949_2021,HI,B117
USA_HI_H211950_2021,HI,B117
USA_HI_H211958_2021,HI,B117
USA_HI_H211973_2021,HI,B117
USA_HI_H211978_2021,HI,B117
USA_HI_H211979_2021,HI,B117
USA_HI_H211981_2021,HI,B117
USA_HI_H211982_2021,HI,B117
USA_HI_H211987_2021,HI,B117
USA_HI_H211988_2021,HI,B117
USA_HI_H211991_2021,HI,B117
USA_HI_H211994_2021,HI,B117
USA_HI_H211995_2021,HI,B117
USA_HI_H211997_2021,HI,B117
USA_HI_H211998_2021,HI,B117
