"","x"
"1",2021.107
"2",2021.09491836735
"3",2021.08283673469
"4",2021.07075510204
"5",2021.05867346939
"6",2021.04659183673
"7",2021.03451020408
"8",2021.02242857143
"9",2021.01034693878
"10",2020.99826530612
"11",2020.98618367347
"12",2020.97410204082
"13",2020.96202040816
"14",2020.94993877551
"15",2020.93785714286
"16",2020.9257755102
"17",2020.91369387755
"18",2020.9016122449
"19",2020.88953061224
"20",2020.87744897959
"21",2020.86536734694
"22",2020.85328571429
"23",2020.84120408163
"24",2020.82912244898
"25",2020.81704081633
"26",2020.80495918367
"27",2020.79287755102
"28",2020.78079591837
"29",2020.76871428571
"30",2020.75663265306
"31",2020.74455102041
"32",2020.73246938776
"33",2020.7203877551
"34",2020.70830612245
"35",2020.6962244898
"36",2020.68414285714
"37",2020.67206122449
"38",2020.65997959184
"39",2020.64789795918
"40",2020.63581632653
"41",2020.62373469388
"42",2020.61165306122
"43",2020.59957142857
"44",2020.58748979592
"45",2020.57540816327
"46",2020.56332653061
"47",2020.55124489796
"48",2020.53916326531
"49",2020.52708163265
"50",2020.515
