"","x"
"1",2021.26
"2",2021.25395918367
"3",2021.24791836735
"4",2021.24187755102
"5",2021.23583673469
"6",2021.22979591837
"7",2021.22375510204
"8",2021.21771428571
"9",2021.21167346939
"10",2021.20563265306
"11",2021.19959183673
"12",2021.19355102041
"13",2021.18751020408
"14",2021.18146938775
"15",2021.17542857143
"16",2021.1693877551
"17",2021.16334693878
"18",2021.15730612245
"19",2021.15126530612
"20",2021.1452244898
"21",2021.13918367347
"22",2021.13314285714
"23",2021.12710204082
"24",2021.12106122449
"25",2021.11502040816
"26",2021.10897959184
"27",2021.10293877551
"28",2021.09689795918
"29",2021.09085714286
"30",2021.08481632653
"31",2021.0787755102
"32",2021.07273469388
"33",2021.06669387755
"34",2021.06065306122
"35",2021.0546122449
"36",2021.04857142857
"37",2021.04253061224
"38",2021.03648979592
"39",2021.03044897959
"40",2021.02440816327
"41",2021.01836734694
"42",2021.01232653061
"43",2021.00628571429
"44",2021.00024489796
"45",2020.99420408163
"46",2020.98816326531
"47",2020.98212244898
"48",2020.97608163265
"49",2020.97004081633
"50",2020.964
