,8/12/2021,8/7/2021,8/3/2021,7/28/2021,7/24/2021,7/20/2021,7/14/2021,7/10/2021,7/7/2021,7/3/2021,6/30/2021,6/27/2021,6/23/2021,6/20/2021,6/16/2021,6/13/2021,6/9/2021,6/4/2021,5/31/2021,5/28/2021,5/24/2021,5/21/2021,5/17/2021,5/14/2021,5/10/2021,5/7/2021,5/3/2021,4/30/2021,4/27/2021,4/22/2021,4/18/2021,4/15/2021,4/11/2021,4/8/2021,4/4/2021,4/1/2021,3/27/2021,3/25/2021,3/21/2021,3/18/2021,3/14/2021,3/11/2021,3/7/2021,3/4/2021,2/28/2021,2/25/2021,2/21/2021,2/18/2021,2/14/2021,2/11/2021,2/7/2021,2/4/2021,1/31/2021,1/28/2021,1/24/2021,1/21/2021,1/17/2021,1/12/2021,1/8/2021,1/4/2021
hi b117,,,,,,,1.15158392,1.15158392,1.15158392,1.15158392,1.15158392,1.15158392,1.15158392,1.15158392,1.15158392,1.15158392,1.15158392,1.15158392,1.15158392,1.15158392,1.15158392,1.15158392,1.150946473,1.103457073,1.102389723,1.102825325,1.104126077,1.1047245,1.104727381,1.104727381,1.104727381,1.104727381,1.104727381,1.104727381,1.104727381,1.104727381,1.104727381,1.104727381,1.103784983,1.099757586,1.112346274,1.130069886,1.12965798,1.130041219,1.130212852,1.130959769,1.131561825,1.132184084,1.132181063,1.132181063,1.132181063,1.132181063,1.132181063,1.132181063,1.132787503,1.135788841,,,,
la b117,0.594401246,0.594401246,0.594401246,0.594401246,0.594401246,0.594401246,0.594401246,0.594401246,0.594401246,0.594401246,0.594401246,0.594401246,0.594401246,0.594401246,0.594401246,0.594401246,0.600835772,0.765352358,0.790902351,0.790902351,0.790902351,0.790902351,0.790902351,0.790902351,0.790902351,0.790902351,0.790902351,0.790902351,0.790902351,0.790902351,0.790902351,0.790902351,0.79347097,0.796865218,0.796865218,1.318636183,1.323917917,1.345308827,1.357161216,1.357161216,1.357161216,1.357161216,1.357161216,1.357161216,1.357161216,1.357161216,1.357161216,1.357161216,1.36081568,1.36081568,1.362202499,1.360775071,1.237776249,1.237776249,1.235863355,1.235950464,1.230824171,1.213449836,1.211164641,1.211164641
