,4/6/2021,3/31/2021,3/25/2021,3/20/2021,3/15/2021,3/9/2021,3/3/2021,2/27/2021,2/21/2021,2/15/2021,2/10/2021,2/8/2021,2/3/2021,1/29/2021,1/25/2021,1/21/2021,1/16/2021,1/12/2021,1/8/2021,1/3/2021,12/30/2020,12/26/2020,12/21/2020,12/17/2020,12/13/2020,12/8/2020,12/4/2020,11/30/2020,11/25/2020,11/21/2020,11/17/2020,11/12/2020,11/8/2020,11/4/2020,10/30/2020,10/26/2020,10/22/2020,10/17/2020,10/13/2020,10/9/2020,10/4/2020,9/30/2020,9/26/2020,9/21/2020,9/17/2020,9/13/2020,9/8/2020,9/4/2020,8/30/2020,8/25/2020,8/21/2020,8/17/2020,8/12/2020,8/8/2020,8/4/2020,7/29/2020,7/25/2020,7/21/2020,7/16/2020,7/12/2020,7/8/2020,7/5/2020,7/2/2020,6/26/2020,6/20/2020
hi b1243,,,,,,,,,,,,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.485673727,1.461766776,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.747035131,0.760724571,1.220124499,1.220124817,1.220124817,1.220124817,1.220124817,1.220124817,1.220124817,1.220124817,1.220124817,1.220124817,1.220124817,1.220124817,1.220124817,,,,
la b1243,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867359123,0.867383851,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775,1.323895775
